Spell,Cleric Level,Magic-User Level,Hebrew Name
Detect Magic,1,1,גילוי קסם
Light*,1,1,אור
Protection from Evil*,1,1,הגנה מרוע
Detect Evil*,1,2,גילוי רוע
Cure Light Wounds*,1,,ריפוי פצעים קלים
Purify Food and Water,1,,טיהור מזון ומים
Remove Fear*,1,,סילוק פחד
Resist Cold,1,,חסינות לקור
Hold Person,2,3,עצירת איש
Bless*,2,,ברכה
Charm Animal,2,,הקסמת חיה
Find Traps,2,,מציאת מלכודות
Resist Fire,2,,חסינות לאש
Silence 15' Radius,2,,שקט ברדיוס 5 מ'
Speak with Animals,2,,שיחת חיות
Spiritual Hammer,2,,פטיש רוחני
Continual Light*,3,2,אור תמידי
Locate Object,3,2,איתור עצם
Remove Curse*,3,4,הסרת קללה
Cure Blindness*,3,,ריפוי עיוורון
Cure Disease*,3,,ריפוי מחלה
Growth of Animals,3,,גדילת חיות
Speak with Dead,3,,דיבוב מתים
Striking,3,,הכאה
Dispel Magic,4,3,ביטול קסם
Protection from Evil 10' Radius*,4,3,הגנה מרשע ברדיוס 3 מ'
Animate Dead,4,5,הנפשת מתים
Create Water,4,,יצירת מים
Cure Serious Wounds*,4,,ריפוי פצעים קשים
Neutralize Poison*,4,,ניטרול רעל
Speak with Plants,4,,דיבור עם צמחים
Sticks to Snakes,4,,הפיכת מקלות לנחשים
Wall of Fire,5,4,קיר אש
Commune,5,,תיקשור עם מישור חיצוני
Create Food,5,,יצירת מזון
Dispel Evil,5,,ביטול רוע
Insect Plague,5,,מגיפת חרקים
Quest*,5,,משימה
Raise Dead*,5,,החייאת מתים
True Seeing,5,,ראיית אמת
Animate Objects,6,,הנפשת חפץ
Blade Barrier,6,,מחסום
Find the Path,6,,מציאת השביל
Heal*,6,,ריפוי כל
Regenerate,6,,הצמחת איברים
Restoration,6,,השבה
Speak with Monsters,6,,דיבור עם מפלצות
Word of Recall,6,,מילת החזרה
Protection from Normal Missiles,,3,הגנה מקליעים רגילים
Charm Person,,1,הקסמת איש
Floating Disc,,1,דיסקית מעופפת
Hold Portal,,1,עצירת פתח
Magic Missile,,1,קליע קסם
Magic Mouth,,1,פה קסום
Read Languages,,1,קריאת שפות
Read Magic,,1,קריאת קסם
Shield,,1,מגן
Sleep,,1,הרדמה
Ventriloquism,,1,פיתומות
Detect Invisible,,2,גילוי נעלם מעין
Invisibility,,2,היעלמות מעין
Knock,,2,פריצה
Levitate,,2,ריחוף
Mind Reading,,2,תע"ח
Mirror Image,,2,בבואת ראי
Phantasmal Force,,2,חזיון תעתועים
Web,,2,קורים
Wizard Lock,,2,מנעול מכשפים
Clairvoyance,,3,ראייה על חושית
Darkvision,,3,זיוונות
Fireball,,3,כדור אש
Fly,,3,מעוף
Haste*,,3,האצה
Invisibility 10' Radius,,3,היעלמות מעין ברדיוס 3 מ'
Lightning Bolt,,3,כדור ברק
Water Breathing,,3,נשימת מים
Charm Monster,,4,הקסמת מפלצת
Confusion,,4,בלבול
Dimension Door,,4,דלת מימדית
Growth of Plants*,,4,גדילת צמחים
Hallucinatory Terrain,,4,שטח דמיוני
Ice Storm,,4,סופת קרח / קיר קרח
Massmorph,,4,שינוי המוני
Polymorph Other,,4,שינוי אחר
Polymorph Self,,4,שינוי עצמי
Wizard Eye,,4,עין המכשף
Cloudkill,,5,ענן מוות
Conjure Elemental,,5,זימון יסודון
Feeblemind*,,5,רפיסות מוח
Hold Monster,,5,עצירת מפלצת
Magic Jar,,5,בקבוק קסם
Passwall,,5,מעבר קיר
Telekinesis,,5,טלקניזיס
Teleport,,5,שיעתוק
Wall of Stone,,5,קיר אבן
Anti-Magic Shell,,6,קליפה נגד קסם
Death Spell,,6,לחש מוות
Disintegrate,,6,התפוררות
Flesh to Stone*,,6,אבן לבשר
Geas*,,6,פיקוד
Invisible Stalker,,6,מהלך בלתי-נראה
Lower Water,,6,הנמכת מים
Projected Image,,6,דמות מוקרנת
Reincarnate,,6,גלגול נשמות
Wall of Iron,,6,קיר ברזל
